Analysis: Scenario 1
Length Units,centimeter
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
1, -25.4349, -13.4732, -1.64951, 0, 3872.86, -275.332, -21.6743, -3862.28, 2750.02, 0, 0, 0.00120473, 0.0001817, -0.0099281, 0.00261067, 0.0559228, 0.0576347, 0, 0, 1.016e+06, 1.02504e+06, 0.746502, 0.116893
2, -25.4349, -13.4604, -1.84654, 0.197448, 3877.24, -293.569, -15.5877, -3865.82, 2739.32, 0, 0, 0.00120473, 0.0001817, -0.0070403, 0.000666136, 0.0522137, 0.0555512, 0, 0, 1.01599e+06, 1.02504e+06, 0.748173, 0.117025
3, -25.4349, -13.4475, -2.04357, 0.394896, 3889.26, -321.277, -15.9426, -3875.51, 2738.72, 0, 0, 0.00120473, 0.0001817, -0.00713417, 0.00110039, 0.0457324, 0.0491137, 0, 0, 1.01599e+06, 1.0251e+06, 0.752819, 0.117388
4, -25.4349, -13.4347, -2.2406, 0.592344, 3901.28, -349, -16.3054, -3885.2, 2738.15, 0, 0, 0.00120473, 0.0001817, -0.0072316, 0.00153801, 0.0392479, 0.042671, 0, 0, 1.01599e+06, 1.02516e+06, 0.757468, 0.117751
5, -25.4349, -13.4218, -2.43762, 0.789792, 3911.59, -370.901, -12.621, -3893.69, 2727.8, 0, 0, 0.00120473, 0.0001817, -0.00404283, 0.00193333, 0.0353444, 0.0413022, 0, 0, 1.01598e+06, 1.02519e+06, 0.761476, 0.118062
6, -25.4349, -13.409, -2.63465, 0.98724, 3922.9, -387.03, -12.1493, -3903.41, 2684.09, 0, 0, 0.00120473, 0.0001817, -0.00540144, 0.00185362, 0.0306371, 0.0402797, 0, 0, 1.01593e+06, 1.0252e+06, 0.765897, 0.118403
7, -25.4349, -13.3961, -2.83168, 1.18469, 3934.17, -402.505, -13.8277, -3913.09, 2634.34, 0, 0, 0.00120473, 0.0001817, -0.00836292, 0.00204362, 0.025672, 0.0392797, 0, 0, 1.01588e+06, 1.02521e+06, 0.770297, 0.118743
8, -25.4349, -13.3833, -3.02871, 1.38214, 3946.78, -421.131, -15.0299, -3923.8, 2591.56, 0, 0, 0.00120473, 0.0001817, -0.00942868, 0.00174622, 0.0213095, 0.0361634, 0, 0, 1.01584e+06, 1.02522e+06, 0.775237, 0.119124
9, -25.4349, -13.3704, -3.22574, 1.57958, 3963.13, -442.67, -13.64, -3937.99, 2565.18, 0, 0, 0.00120473, 0.0001817, -0.00471475, -0.000229286, 0.0189802, 0.0281749, 0, 0, 1.01582e+06, 1.02528e+06, 0.781679, 0.119617
10, -25.4349, -13.3576, -3.42277, 1.77703, 3977.9, -448.631, -9.98698, -3952.21, 2519.21, 0, 0, 0.00120473, 0.0001817, -0.00161732, -0.00218214, 0.0161236, 0.0250638, 0, 0, 1.01577e+06, 1.0253e+06, 0.787505, 0.120063
11, -25.4349, -13.3447, -3.6198, 1.97448, 3989.78, -448.852, -6.18036, -3964.29, 2435.43, 0, 0, 0.00120473, 0.0001817, 0.000418696, -0.00189843, 0.0152482, 0.0273373, 0, 0, 1.01569e+06, 1.02527e+06, 0.792214, 0.120422
12, -25.4349, -13.3319, -3.81683, 2.17193, 4003.96, -466.836, 1.38826, -3976.38, 2359.59, 0, 0, 0.00120473, 0.0001817, 0.00431991, -0.00225957, 0.0132281, 0.0276088, 0, 0, 1.01561e+06, 1.02527e+06, 0.79786, 0.12085
13, -25.4349, -13.319, -4.01386, 2.36937, 4016.44, -483.682, 8.39796, -3986.91, 2285.18, 0, 0, 0.00120473, 0.0001817, 0.00632395, -0.0030402, 0.0120406, 0.028891, 0, 0, 1.01554e+06, 1.02525e+06, 0.80284, 0.121227
14, -25.4349, -13.3062, -4.21089, 2.56682, 4026.03, -488.646, 15.6926, -3995.95, 2206.41, 0, 0, 0.00120473, 0.0001817, 0.00460725, -0.00217463, 0.0170545, 0.029379, 0, 0, 1.01546e+06, 1.02522e+06, 0.806677, 0.121516
15, -25.4349, -13.2933, -4.40792, 2.76427, 4032.62, -507.885, 20.4678, -3999.9, 2138.09, 0, 0, 0.00120473, 0.0001817, 0.00180338, -0.00182083, 0.0416789, 0.0460616, 0, 0, 1.01539e+06, 1.02518e+06, 0.80932, 0.121715
16, -25.4349, -13.2805, -4.60495, 2.96172, 4034.92, -502.822, 30.309, -4002.96, 2065.27, 0, 0, 0.00120473, 0.0001817, 0.00975966, -0.00229698, 0.0290349, 0.0359676, 0, 0, 1.01532e+06, 1.02512e+06, 0.810242, 0.121784
17, -25.4349, -13.2676, -4.80198, 3.15917, 4040.47, -495.19, 35.4147, -4009.71, 2014.59, 0, 0, 0.00120473, 0.0001817, 0.00796214, -0.000186581, 0.031039, 0.0347012, 0, 0, 1.01526e+06, 1.0251e+06, 0.812471, 0.121952
